symbol,synonym_symbol,scientific_name,common_name,fips_code
ABAL,NA,Abronia alpina Brandegee,Ramshaw Meadows sand verbena,US06
ABAM,NA,Abies amabilis (Douglas ex Loudon) Douglas ex,Pacific silver fir,US06
ABBR,NA,Abies bracteata (D. Don) D. Don ex Poit.,bristlecone fir,US06
ABBR,ABVE,Abies venusta (Douglas) K. Koch,NA,US06
ABGR,ABGRI,Abies grandis (Douglas ex D. Don) Lindl. var.,NA,US06
ABGR,ABGRG,Abies grandis (Douglas ex D. Don) Lindl. var.,NA,US06
ABGR,NA,Abies grandis (Douglas ex D. Don) Lindl.,grand fir,US06
ABGR,ABGRJ,Abies grandis (Douglas ex D. Don) Lindl. f. j,NA,US06
ABGR,ABGRI2,Abies grandis (Douglas ex D. Don) Lindl. ssp.,NA,US06
ABGR2,NA,Abronia gracilis Benth.,slender sand verbena,US06
ABIES,NA,Abies Mill.,fir,US06
ABIN2,NA,Abronia insularis Standl.,island sand verbena,US06
ABLA,NA,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,US06
ABLA2,NA,Abronia latifolia Eschsch.,coastal sand verbena,US06
ABLAL,NA,Abies lasiocarpa (Hook.) Nutt. var. lasiocarp,subalpine fir,US06
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (,NA,US06
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm,NA,US06
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (,NA,US06
ABLAL,ABSU,Abies subalpina Engelmann,NA,US06
ABLAL,ABBI3,Abies bifolia A. Murray bis,NA,US06
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Ho,NA,US06
ABLO,ABCOL,Abies concolor (Gord. & Glend.) Lindl. ex Hil,NA,US06
ABLO,NA,Abies lowiana (Gordon & Glend.) A. Murray bis,Sierra white fir,US06
ABMA,NA,Abies magnifica A. Murray bis,California red fir,US06
ABMA2,NA,Abronia maritima Nutt. ex S. Watson,red sand verbena,US06
ABMAM,NA,Abies magnifica A. Murray bis var. magnifica,California red fir,US06
ABMAS,ABMAC,Abies magnifica A. Murray bis var. critchfiel,NA,US06
ABMAS,ABSH,Abies ×shastensis (Lemmon) Lemmon,NA,US06
ABMAS,ABMAS2,Abies magnifica A. Murray bis ssp. shastensis,NA,US06
ABMAS,NA,Abies magnifica A. Murray bis var. shastensis,Shasta red fir,US06
ABMI2,NA,Abronia minor Standl.,little sand verbena,US06
ABNA,NA,Abronia nana S. Watson,dwarf sand verbena,US06
ABNAC,ABNAC2,Abronia nana S. Watson ssp. covillei (Heimerl,NA,US06
ABNAC,NA,Abronia nana S. Watson var. covillei (Heimerl,Coville's dwarf sand verbena,US06
ABNAN,ABNAL,Abronia nana S. Watson var. lanciformis M.E. ,NA,US06
ABNAN,NA,Abronia nana S. Watson var. nana,dwarf sand verbena,US06
ABNE,NA,Abronia neurophylla Standl.,beach sand verbena,US06
ABPA,NA,Abutilon palmeri A. Gray,Palmer's Indian mallow,US06
ABPA3,NA,Abutilon parvulum A. Gray,dwarf Indian mallow,US06
ABPO,NA,Abronia pogonantha Heimerl,Mojave sand verbena,US06
ABPR,NA,Abies procera Rehder,noble fir,US06
ABPR,ABNO,Abies nobilis (Douglas ex D. Don) Lindl.,NA,US06
ABRON,NA,Abronia Juss.,sand verbena,US06
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",NA,US06
ABTH,NA,Abutilon theophrasti Medik.,velvetleaf,US06
ABTH,ABAV,Abutilon avicennae Gaertn.,NA,US06
ABTU,NA,Abronia turbinata Torr. ex S. Watson,transmontane sand verbena,US06
ABTU,ABOR2,Abronia orbiculata Standl.,NA,US06
ABTU,ABEX,Abronia exalata Standl.,NA,US06
ABUM,NA,Abronia umbellata Lam.,pink sand verbena,US06
ABUMB,ABUMA3,Abronia umbellata Lam. var. acutalata (Standl,NA,US06
ABUMB,NA,Abronia umbellata Lam. ssp. breviflora (Stand,pink sand verbena,US06
ABUMB,ABUMA2,Abronia umbellata Lam. ssp. acutalata (Standl,NA,US06
ABUMB,ABAC,Abronia acutalata Standl.,NA,US06
ABUMB,ABBR2,Abronia breviflora Standl.,NA,US06
ABUMU,ABUMA4,Abronia umbellata Lam. ssp. alba (Eastw.) Mun,NA,US06
ABUMU,ABUMV,Abronia umbellata Lam. ssp. variabilis (Stand,NA,US06
ABUMU,ABVA,Abronia variabilis Standl.,NA,US06
ABUMU,ABUMP,Abronia umbellata Lam. ssp. platyphylla (Stan,NA,US06
ABUMU,NA,Abronia umbellata Lam. ssp. umbellata,pink sand verbena,US06
ABUMU,ABPL,Abronia platyphylla Standl.,NA,US06
ABUMU,ABAL2,Abronia alba Eastw.,NA,US06
ABUTI,NA,Abutilon Mill.,Indian mallow,US06
ABVI,NA,Abronia villosa S. Watson,desert sand verbena,US06
ABVIA,NA,Abronia villosa S. Watson var. aurita (Abrams,desert sand verbena,US06
ABVIA,ABPI2,Abronia pinetorum Abrams,NA,US06
ABVIV,NA,Abronia villosa S. Watson var. villosa,desert sand verbena,US06
ACACI,NA,Acacia Mill.,acacia,US06
ACAEN,NA,Acaena Mutis ex L.,acaena,US06
ACALY,NA,Acalypha L.,copperleaf,US06
ACAMP,NA,Acamptopappus (A. Gray) A. Gray,goldenhead,US06
ACANT2,NA,Acanthomintha (A. Gray) A. Gray,thorn-mint,US06
ACANT7,NA,Acanthus L.,acanthus,US06
ACAR14,NA,Achnatherum aridum (M.E. Jones) Barkworth,Mormon needlegrass,US06
ACAR14,STAR2,Stipa arida M.E. Jones,NA,US06
ACARO2,NA,Acarospora A. Massal.,cracked lichen,US06
ACBA,NA,Acacia baileyana F. Muell.,cootamundra wattle,US06
ACBL,STBL4,Stipa bloomeri Bol.,NA,US06
ACBL,NA,Achnatherum ×bloomeri (Bol.) Barkworth [hymen,NA,US06
ACBL,ORBL,Oryzopsis bloomeri (Bol.) Ricker,NA,US06
ACBL,STBL5,Stiporyzopsis bloomeri (Bol.) B.L. Johnson,NA,US06
ACBR5,NA,Achnatherum brachychaetum (Godr.) Barkworth,shortbristled needlegrass,US06
ACBR5,NABR2,Nassella brachychaeta (Godr.) Barkworth,NA,US06
ACBR5,STBR3,Stipa brachychaeta Godr.,NA,US06
ACCA3,ACPR,Acalypha pringlei S. Watson,NA,US06
ACCA3,NA,Acalypha californica Benth.,California copperleaf,US06
ACCA34,STTO8,Stipa tortilis Desf.,NA,US06
ACCA34,STCA25,Stipa capensis Thunb.,NA,US06
ACCA34,NA,Achnatherum capense (Thunb.) P. Beauv.,Cape ricegrass,US06
ACCA4,NA,Acorus calamus L.,calamus,US06
ACCA5,NA,Acer campestre L.,hedge maple,US06
ACCA6,NA,Achlys californica I. Fukuda & H.G. Baker,deer's foot,US06
ACCI,NA,Acer circinatum Pursh,vine maple,US06
ACCO21,STCO5,Stipa coronata Thurb.,NA,US06
ACCO21,NA,Achnatherum coronatum (Thurb.) Barkworth,giant ricegrass,US06
ACCO3,NA,Achyronychia cooperi Torr. & A. Gray,onyxflower,US06
ACCO4,NA,Aconitum columbianum Nutt.,Columbian monkshood,US06
ACCOC3,ACCOB,Aconitum columbianum Nutt. var. bakeri (Green,NA,US06
ACCOC3,ACCOO,Aconitum columbianum Nutt. var. ochroleucum A,NA,US06
ACCOC3,NA,Aconitum columbianum Nutt. ssp. columbianum,Columbian monkshood,US06
ACCOC3,ACMO3,Aconitum mogollonicum Greene,NA,US06
ACCOC3,ACCOP,Aconitum columbianum Nutt. ssp. pallidum Pipe,NA,US06
ACCOC3,ACLE6,Aconitum leibergii Greene,NA,US06
ACCOC3,ACGE3,Aconitum geranioides Greene,NA,US06
ACCOV2,ACVI5,Aconitum viviparum Greene,NA,US06
ACCOV2,ACHO,Aconitum howellii A. Nelson & J.F. Macbr.,NA,US06
ACCOV2,ACBU,Aconitum bulbiferum Howell,NA,US06
ACCOV2,ACCOH,Aconitum columbianum Nutt. var. howellii (A. ,NA,US06
ACCOV2,NA,Aconitum columbianum Nutt. ssp. viviparum (Gr,Columbian monkshood,US06
ACCOV2,ACHA2,Aconitum hansenii Greene,NA,US06
ACCY2,NA,Acacia cyclops A. Cunn. ex G. Don,coastal wattle,US06
ACDE,MIDE17,Mimosa decurrens Wendl. f.,NA,US06
ACDE,NA,Acacia decurrens (Wendl. f.) Willd.,green wattle,US06
ACDE3,NA,Acacia dealbata Link,silver wattle,US06
ACDE3,ACDED,Acacia decurrens (Wendl. f.) Willd. var. deal,NA,US06
